Product,Category,Sales,Region
Laptop,Electronics,50000,North
Phone,Electronics,30000,South
TV,Electronics,25000,East
Tablet,Electronics,22000,West
Camera,Electronics,18000,North
Headphones,Electronics,12000,South
Speaker,Electronics,15000,East
Monitor,Electronics,20000,West
Keyboard,Electronics,8000,North
Mouse,Electronics,7000,South
Shirt,Clothing,12000,West
Jeans,Clothing,18000,North
Shoes,Clothing,15000,South
Jacket,Clothing,25000,East
Sweater,Clothing,14000,West
Tshirt,Clothing,10000,North
Shorts,Clothing,9000,South
Socks,Clothing,5000,East
Cap,Clothing,4000,West
Scarf,Clothing,6000,North
Rice,Groceries,11000,South
Wheat,Groceries,9000,East
Sugar,Groceries,7000,West
Salt,Groceries,3000,North
Oil,Groceries,13000,South
Milk,Groceries,8000,East
Bread,Groceries,6000,West
Butter,Groceries,5000,North
Cheese,Groceries,10000,South
Eggs,Groceries,9000,East
Sofa,Furniture,45000,West
Chair,Furniture,12000,North
Table,Furniture,20000,South
Bed,Furniture,40000,East
Cupboard,Furniture,35000,West
Desk,Furniture,18000,North
Shelf,Furniture,14000,South
Lamp,Furniture,7000,East
Mattress,Furniture,28000,West
Stool,Furniture,5000,North
Book,Stationery,3000,South
Notebook,Stationery,5000,East
Pen,Stationery,2000,West
Pencil,Stationery,1500,North
Eraser,Stationery,1000,South
Marker,Stationery,2500,East
Folder,Stationery,1800,West
Stapler,Stationery,3500,North
Glue,Stationery,1200,South
Calculator,Stationery,6000,East